CustomerID,Age,Gender,MaritalStatus,Income,Savings,CreditScore,LoanAmount,LoanStatus,AccountType,YearsWithBank,Churn
C0001,25.0,FEMALE,single,80000.0,15000.0,600.0,50000.0,approved,joint,,no
C0002,35.0,male,single,40000.0,5000.0,700.0,40000.0,approved,joint,10.0,no
C0003,35.0,female,single,100000.0,20000.0,800.0,50000.0,defaulted,checking,10.0,no
C0004,45.0,male,married,80000.0,20000.0,750.0,30000.0,approved,checking,,no
C0005,45.0,male,married,40000.0,25000.0,750.0,20000.0,rejected,checking,2.0,yes
C0006,35.0,male,married,100000.0,20000.0,750.0,20000.0,rejected,joint,5.0,no
C0007,35.0,male,single,60000.0,25000.0,800.0,20000.0,approved,savings,10.0,yes
C0008,35.0,female,single,60000.0,25000.0,700.0,20000.0,rejected,investment,10.0,no
C0009,55.0,FEMALE,single,80000.0,100000.0,650.0,30000.0,rejected,joint,1.0,no
C0010,45.0,male,single,60000.0,10000.0,,50000.0,rejected,checking,10.0,yes
C0011,25.0,Male,single,80000.0,20000.0,800.0,20000.0,approved,investment,20.0,no
C0012,35.0,Male,married,60000.0,10000.0,750.0,30000.0,rejected,savings,10.0,yes
C0013,35.0,male,married,60000.0,15000.0,750.0,30000.0,approved,savings,5.0,no
C0014,35.0,Male,married,40000.0,100000.0,800.0,20000.0,defaulted,checking,,no
C0015,45.0,Male,divorced,60000.0,20000.0,650.0,40000.0,rejected,savings,,yes
C0016,55.0,FEMALE,married,80000.0,10000.0,700.0,40000.0,rejected,savings,5.0,yes
C0017,35.0,Male,married,60000.0,50000.0,,50000.0,defaulted,savings,5.0,no
C0018,45.0,female,single,60000.0,20000.0,650.0,40000.0,approved,checking,,no
C0019,45.0,Male,single,40000.0,20000.0,800.0,50000.0,rejected,checking,10.0,no
C0020,25.0,female,married,100000.0,5000.0,750.0,40000.0,approved,joint,5.0,yes
C0021,45.0,male,single,60000.0,20000.0,600.0,50000.0,approved,savings,1.0,yes
C0022,25.0,Male,married,60000.0,15000.0,700.0,40000.0,defaulted,checking,5.0,yes
C0023,35.0,FEMALE,single,60000.0,10000.0,750.0,20000.0,approved,savings,10.0,yes
C0024,35.0,Male,divorced,100000.0,20000.0,750.0,40000.0,rejected,savings,2.0,yes
C0025,25.0,female,married,60000.0,20000.0,800.0,30000.0,rejected,savings,5.0,no
C0026,35.0,FEMALE,single,100000.0,20000.0,600.0,30000.0,rejected,investment,5.0,no
C0027,45.0,FEMALE,married,,10000.0,600.0,30000.0,approved,checking,2.0,yes
C0028,35.0,Male,married,60000.0,15000.0,800.0,40000.0,rejected,investment,5.0,no
C0029,35.0,male,single,60000.0,5000.0,700.0,20000.0,defaulted,savings,5.0,yes
C0030,25.0,female,married,80000.0,15000.0,700.0,20000.0,rejected,savings,1.0,yes
C0031,55.0,FEMALE,divorced,80000.0,15000.0,650.0,40000.0,approved,savings,10.0,no
C0032,35.0,Male,single,40000.0,20000.0,600.0,40000.0,rejected,investment,1.0,no
C0033,45.0,FEMALE,single,80000.0,15000.0,750.0,30000.0,rejected,savings,2.0,no
C0034,25.0,FEMALE,single,100000.0,25000.0,750.0,20000.0,approved,checking,,no
C0035,35.0,male,single,60000.0,5000.0,600.0,30000.0,approved,savings,10.0,no
C0036,,Male,married,80000.0,10000.0,650.0,30000.0,rejected,investment,20.0,yes
C0037,35.0,Male,divorced,80000.0,50000.0,700.0,40000.0,rejected,savings,10.0,no
C0038,45.0,male,married,40000.0,20000.0,600.0,50000.0,approved,checking,,yes
C0039,55.0,FEMALE,married,80000.0,10000.0,600.0,40000.0,approved,joint,10.0,no
C0040,55.0,male,single,100000.0,15000.0,,30000.0,approved,savings,10.0,no
C0041,55.0,male,married,80000.0,10000.0,800.0,20000.0,defaulted,savings,5.0,no
C0042,45.0,Male,married,60000.0,15000.0,800.0,30000.0,approved,checking,5.0,no
C0043,35.0,female,married,80000.0,10000.0,600.0,50000.0,approved,investment,1.0,no
C0044,35.0,female,single,60000.0,15000.0,750.0,40000.0,approved,investment,,no
C0045,45.0,female,widowed,40000.0,15000.0,600.0,30000.0,rejected,savings,,no
C0046,35.0,male,single,80000.0,15000.0,700.0,,approved,savings,2.0,no
C0047,35.0,Male,widowed,80000.0,15000.0,800.0,20000.0,approved,checking,10.0,yes
C0048,45.0,female,single,80000.0,20000.0,650.0,30000.0,defaulted,investment,2.0,no
C0049,45.0,FEMALE,single,40000.0,5000.0,700.0,,rejected,investment,,no
C0050,55.0,FEMALE,single,60000.0,15000.0,650.0,40000.0,rejected,checking,10.0,no
C0051,,male,divorced,40000.0,20000.0,750.0,30000.0,approved,savings,5.0,no
C0052,45.0,FEMALE,married,60000.0,10000.0,800.0,50000.0,approved,investment,5.0,no
C0053,35.0,FEMALE,single,40000.0,15000.0,650.0,40000.0,approved,savings,5.0,no
C0054,35.0,male,married,,5000.0,700.0,40000.0,approved,savings,10.0,no
C0055,55.0,female,single,40000.0,25000.0,700.0,20000.0,rejected,investment,10.0,yes
C0056,,male,divorced,80000.0,15000.0,650.0,40000.0,rejected,checking,1.0,no
C0057,35.0,male,single,80000.0,20000.0,800.0,50000.0,approved,joint,2.0,no
C0058,45.0,female,married,40000.0,20000.0,800.0,30000.0,approved,joint,20.0,no
C0059,45.0,female,single,80000.0,5000.0,750.0,40000.0,approved,savings,2.0,yes
C0060,45.0,Male,single,60000.0,5000.0,800.0,20000.0,rejected,checking,10.0,no
C0061,45.0,male,widowed,40000.0,50000.0,650.0,20000.0,rejected,savings,1.0,yes
C0062,45.0,male,divorced,100000.0,5000.0,700.0,30000.0,approved,checking,1.0,no
C0063,45.0,female,married,80000.0,10000.0,750.0,50000.0,defaulted,savings,5.0,no
C0064,25.0,female,single,40000.0,50000.0,800.0,50000.0,approved,investment,5.0,yes
C0065,45.0,male,married,80000.0,10000.0,650.0,40000.0,rejected,checking,20.0,no
C0066,55.0,female,single,40000.0,5000.0,750.0,40000.0,approved,checking,10.0,no
C0067,45.0,FEMALE,married,80000.0,10000.0,650.0,30000.0,approved,checking,5.0,yes
C0068,45.0,FEMALE,married,100000.0,100000.0,650.0,30000.0,approved,savings,5.0,yes
C0069,45.0,male,widowed,80000.0,50000.0,700.0,40000.0,approved,joint,,no
C0070,25.0,female,married,,15000.0,700.0,40000.0,defaulted,savings,10.0,no
C0071,45.0,female,married,80000.0,10000.0,800.0,40000.0,approved,savings,5.0,no
C0072,45.0,female,single,80000.0,20000.0,800.0,30000.0,approved,checking,5.0,no
C0073,35.0,female,widowed,60000.0,20000.0,750.0,20000.0,defaulted,savings,20.0,yes
C0074,45.0,male,single,80000.0,10000.0,650.0,50000.0,rejected,investment,10.0,no
C0075,45.0,male,married,80000.0,20000.0,750.0,50000.0,approved,checking,10.0,no
C0076,45.0,male,married,60000.0,10000.0,600.0,20000.0,defaulted,savings,20.0,yes
C0077,35.0,female,single,80000.0,20000.0,800.0,20000.0,rejected,checking,5.0,no
C0078,35.0,FEMALE,widowed,40000.0,15000.0,650.0,40000.0,approved,savings,5.0,yes
C0079,45.0,female,single,100000.0,25000.0,650.0,20000.0,approved,savings,,no
C0080,55.0,FEMALE,single,40000.0,100000.0,600.0,40000.0,approved,investment,20.0,no
C0081,25.0,female,divorced,80000.0,15000.0,700.0,40000.0,approved,investment,10.0,no
C0082,55.0,FEMALE,married,60000.0,15000.0,750.0,40000.0,defaulted,investment,5.0,yes
C0083,35.0,female,divorced,,15000.0,750.0,40000.0,rejected,savings,10.0,no
C0084,45.0,Male,married,60000.0,20000.0,600.0,20000.0,approved,joint,10.0,yes
C0085,35.0,Male,single,100000.0,,800.0,30000.0,defaulted,savings,20.0,no
C0086,,male,single,80000.0,50000.0,750.0,20000.0,approved,savings,5.0,no
C0087,55.0,female,single,80000.0,100000.0,750.0,40000.0,approved,checking,2.0,yes
C0088,35.0,female,single,100000.0,10000.0,600.0,20000.0,approved,savings,2.0,yes
C0089,45.0,male,married,100000.0,20000.0,600.0,30000.0,approved,investment,2.0,no
C0090,45.0,male,married,40000.0,15000.0,800.0,40000.0,approved,savings,10.0,no
C0091,35.0,female,single,80000.0,5000.0,600.0,30000.0,approved,investment,10.0,no
C0092,,male,married,80000.0,10000.0,750.0,30000.0,rejected,savings,2.0,yes
C0093,55.0,female,single,60000.0,15000.0,700.0,20000.0,rejected,checking,2.0,no
C0094,25.0,Male,single,60000.0,10000.0,600.0,30000.0,approved,savings,,yes
C0095,45.0,Male,married,40000.0,15000.0,700.0,30000.0,approved,savings,1.0,no
C0096,45.0,male,married,80000.0,10000.0,600.0,40000.0,approved,checking,2.0,no
C0097,45.0,male,widowed,60000.0,20000.0,750.0,30000.0,defaulted,checking,10.0,yes
C0098,45.0,Male,single,80000.0,15000.0,800.0,40000.0,approved,joint,5.0,yes
C0099,35.0,male,single,60000.0,10000.0,,40000.0,defaulted,investment,10.0,no
C0100,35.0,female,married,80000.0,15000.0,,40000.0,rejected,checking,20.0,no
C0101,25.0,female,single,60000.0,100000.0,650.0,30000.0,approved,investment,100.0,no
C0102,35.0,female,widowed,40000.0,15000.0,650.0,40000.0,rejected,checking,2.0,no
C0103,55.0,FEMALE,single,40000.0,15000.0,650.0,20000.0,rejected,investment,20.0,no
C0104,35.0,FEMALE,married,60000.0,10000.0,800.0,30000.0,approved,checking,10.0,no
C0105,55.0,Male,married,80000.0,5000.0,600.0,50000.0,rejected,savings,5.0,no
C0106,35.0,male,single,80000.0,15000.0,700.0,30000.0,rejected,savings,5.0,no
C0107,55.0,male,married,,15000.0,,30000.0,approved,checking,2.0,no
C0108,45.0,female,married,40000.0,100000.0,650.0,40000.0,rejected,savings,5.0,yes
C0109,35.0,female,married,80000.0,25000.0,750.0,40000.0,defaulted,checking,10.0,no
C0110,35.0,female,married,80000.0,15000.0,800.0,30000.0,approved,checking,2.0,no
C0111,25.0,male,married,60000.0,15000.0,600.0,30000.0,approved,savings,1.0,no
C0112,45.0,FEMALE,married,40000.0,15000.0,750.0,20000.0,approved,investment,2.0,no
C0113,45.0,female,single,100000.0,5000.0,700.0,20000.0,rejected,savings,10.0,no
C0114,,female,widowed,60000.0,20000.0,650.0,50000.0,approved,joint,20.0,yes
C0115,35.0,male,married,60000.0,5000.0,700.0,20000.0,rejected,checking,2.0,yes
C0116,55.0,Male,married,60000.0,20000.0,600.0,40000.0,approved,savings,5.0,yes
C0117,25.0,female,widowed,100000.0,15000.0,700.0,40000.0,rejected,savings,5.0,no
C0118,25.0,male,married,80000.0,15000.0,750.0,30000.0,approved,savings,5.0,no
C0119,25.0,male,single,40000.0,50000.0,650.0,30000.0,approved,checking,5.0,yes
C0120,,FEMALE,single,60000.0,10000.0,750.0,30000.0,approved,savings,10.0,yes
C0121,45.0,Male,married,80000.0,25000.0,750.0,20000.0,approved,savings,20.0,no
C0122,25.0,female,single,100000.0,,650.0,30000.0,approved,investment,10.0,no
C0123,55.0,FEMALE,single,60000.0,20000.0,600.0,50000.0,approved,joint,10.0,no
C0124,25.0,male,single,40000.0,20000.0,750.0,40000.0,approved,investment,5.0,no
C0125,25.0,FEMALE,single,40000.0,25000.0,650.0,30000.0,rejected,savings,1.0,yes
C0126,25.0,female,married,80000.0,15000.0,800.0,40000.0,rejected,savings,5.0,yes
C0127,25.0,FEMALE,single,60000.0,20000.0,800.0,20000.0,approved,joint,20.0,yes
C0128,25.0,male,married,100000.0,50000.0,700.0,40000.0,approved,joint,5.0,no
C0129,,male,single,80000.0,15000.0,750.0,40000.0,approved,checking,5.0,no
C0130,25.0,male,married,40000.0,20000.0,800.0,50000.0,approved,savings,5.0,yes
C0131,45.0,Male,single,60000.0,50000.0,650.0,30000.0,approved,checking,5.0,yes
C0132,45.0,female,single,80000.0,15000.0,600.0,30000.0,approved,checking,,no
C0133,45.0,female,single,40000.0,25000.0,650.0,40000.0,rejected,savings,5.0,no
C0134,25.0,female,single,60000.0,10000.0,600.0,30000.0,defaulted,checking,2.0,no
C0135,35.0,FEMALE,single,100000.0,50000.0,750.0,50000.0,approved,checking,10.0,no
C0136,45.0,female,divorced,,50000.0,,20000.0,rejected,checking,5.0,no
C0137,25.0,male,single,80000.0,50000.0,,20000.0,approved,investment,5.0,no
C0138,35.0,Male,married,60000.0,25000.0,600.0,30000.0,approved,checking,2.0,no
C0139,25.0,Male,single,60000.0,10000.0,650.0,20000.0,rejected,savings,5.0,no
C0140,25.0,FEMALE,married,60000.0,20000.0,750.0,20000.0,approved,checking,1.0,yes
C0141,25.0,male,married,60000.0,15000.0,750.0,20000.0,rejected,savings,,no
C0142,55.0,Male,single,80000.0,100000.0,600.0,50000.0,defaulted,savings,,no
C0143,35.0,male,widowed,40000.0,15000.0,600.0,30000.0,approved,checking,5.0,no
C0144,25.0,male,married,80000.0,25000.0,700.0,40000.0,approved,investment,5.0,no
C0145,35.0,female,single,60000.0,,650.0,20000.0,rejected,joint,2.0,no
C0146,35.0,male,single,80000.0,25000.0,800.0,40000.0,approved,savings,5.0,no
C0147,45.0,male,single,80000.0,15000.0,600.0,50000.0,approved,savings,1.0,yes
C0148,,male,single,40000.0,20000.0,650.0,30000.0,approved,savings,2.0,yes
C0149,55.0,male,single,80000.0,20000.0,800.0,20000.0,rejected,savings,2.0,no
C0150,25.0,male,single,40000.0,20000.0,700.0,40000.0,approved,checking,10.0,yes
C0151,55.0,male,single,60000.0,10000.0,800.0,50000.0,rejected,savings,10.0,no
C0152,45.0,female,married,40000.0,20000.0,700.0,40000.0,rejected,savings,5.0,no
C0153,45.0,FEMALE,married,100000.0,10000.0,,40000.0,rejected,savings,5.0,yes
C0154,45.0,FEMALE,single,60000.0,50000.0,,40000.0,defaulted,joint,5.0,no
C0155,35.0,Male,widowed,40000.0,15000.0,700.0,20000.0,rejected,savings,5.0,yes
C0156,45.0,female,single,100000.0,50000.0,750.0,30000.0,rejected,checking,5.0,no
C0157,,male,married,80000.0,15000.0,750.0,30000.0,approved,checking,1.0,yes
C0158,25.0,female,divorced,80000.0,50000.0,600.0,40000.0,approved,checking,2.0,yes
C0159,25.0,female,single,80000.0,20000.0,650.0,50000.0,approved,savings,5.0,no
C0160,45.0,female,married,80000.0,100000.0,700.0,30000.0,defaulted,savings,5.0,no
